"HOMES AND HOUSING","Affordable housing, increasing supply through GMA and housing density tax incentives","https://app.leg.wa.gov/billsummary?BillNumber=5390&Year=2021&Initiative=false","Substitute - SSB 5390","Ways & Means","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Increasing housing supply through the growth management act and housing density tax incentives for local governments.","Liias, Gildon, Nguyen, Saldaña","No Requester"
"HOMES AND HOUSING","Affordable housing, increasing supply through GMA and real estate excise tax revenue","https://app.leg.wa.gov/billsummary?BillNumber=1157&Year=2021&Initiative=false","2nd Substitute - 2SHB 1157","Rules 3C","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Increasing housing supply through the growth management act and housing density tax incentives for local governments.","Bateman, Gilday, Taylor, Eslick, Robertson, Simmons, Ormsby, Lekanoff, Hackney, Ryu, Walen, Vick, Wicks, Berg, Fitzgibbon, Barkis, Harris-Talley, Dolan","No Requester"
"HOMES AND HOUSING","Affordable housing, local infrastructure investment programs to support","https://app.leg.wa.gov/billsummary?BillNumber=1966&Year=2021&Initiative=false","HB 1966","Finance","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Creating a local infrastructure investment program to support the development of affordable housing, workforce housing, and revitalization efforts.","Steele, Barkis, Gilday, Leavitt","No Requester"
"HOMES AND HOUSING","Affordable housing, local sales/use tax revenue use for acquiring","https://app.leg.wa.gov/billsummary?BillNumber=1070&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1070","27 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Modifying allowed uses of local tax revenue for affordable housing and related services to include the acquisition and construction of affordable housing and facilities.","Ryu, Macri, Walen, Chopp, Santos, Fitzgibbon, Ramel, Wylie, Ramos, Bateman, Tharinger, Simmons, Kloba, Peterson, Gregerson, Goodman, Sells, Bronoske, Valdez, Callan, Hackney, Cody, Ormsby, Riccelli, Springer, Fey, Davis, Pollet, Harris-Talley","No Requester"
"HOMES AND HOUSING","Affordable housing, low-income single-family, American dream homes","https://app.leg.wa.gov/billsummary?BillNumber=5986&Year=2021&Initiative=false","SB 5986","Housing & Loca","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Addressing homelessness through providing emergency shelter, incentivizing employment of workers experiencing homelessness, and building homes for a better future.","Fortunato","No Requester"
"HOMES AND HOUSING","Affordable housing, multi-family property tax exemption for multi-unit residential structures and units converted to","https://app.leg.wa.gov/billsummary?BillNumber=5832&Year=2021&Initiative=false","Engrossed - ESB 5832","Rules 3","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Expanding the multifamily tax exemption program to include converting existing multifamily units.","Das, Fortunato, Dhingra, Keiser, Kuderer, Lovelett, Nobles, Salomon, Wagoner, Wilson, C.","No Requester"
"HOMES AND HOUSING","Affordable housing, multi-family property tax exemption for multi-unit residential structures in RTAs, expanding","https://app.leg.wa.gov/billsummary?BillNumber=5287&Year=2021&Initiative=false","Engrossed 2nd Substitute - E2SSB 5287","187 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning affordable housing incentives.","Das, Kuderer, Conway, Keiser, Liias, Nguyen, Nobles, Pedersen, Randall, Salomon, Wilson, C.","No Requester"
"HOMES AND HOUSING","Affordable housing, permanently, community revitalization financing","https://app.leg.wa.gov/billsummary?BillNumber=2061&Year=2021&Initiative=false","HB 2061","38 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Adding permanently affordable housing to the definition of public improvements.","Ormsby, Santos, Valdez, Morgan, Chopp, Pollet, Harris-Talley, Bergquist, Lekanoff","No Requester"
"HOMES AND HOUSING","Affordable housing, permitting process for construction of, removing redundancies and streamlining","https://app.leg.wa.gov/billsummary?BillNumber=2049&Year=2021&Initiative=false","HB 2049","Local Govt","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Encouraging construction of affordable housing by eliminating redundancies and streamlining the permitting process.","Barkis, Bateman, Boehnke, Gilday, Hoff, Robertson, Rude, Shewmake, Walen, Wicks, Dufault, Sutherland, Eslick, Macri, Peterson, Simmons, Young","No Requester"
"HOMES AND HOUSING","Affordable housing, properties selling/renting 25% of units to nonprofits/local government, property tax exemption","https://app.leg.wa.gov/billsummary?BillNumber=5287&Year=2021&Initiative=false","Engrossed 2nd Substitute - E2SSB 5287","187 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning affordable housing incentives.","Das, Kuderer, Conway, Keiser, Liias, Nguyen, Nobles, Pedersen, Randall, Salomon, Wilson, C.","No Requester"
"HOMES AND HOUSING","Affordable housing, real estate excise tax density incentive zones establishment to increase","https://app.leg.wa.gov/billsummary?BillNumber=1157&Year=2021&Initiative=false","2nd Substitute - 2SHB 1157","Rules 3C","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Increasing housing supply through the growth management act and housing density tax incentives for local governments.","Bateman, Gilday, Taylor, Eslick, Robertson, Simmons, Ormsby, Lekanoff, Hackney, Ryu, Walen, Vick, Wicks, Berg, Fitzgibbon, Barkis, Harris-Talley, Dolan","No Requester"
"HOMES AND HOUSING","Affordable housing, real property sale/transfer for, real estate excise tax exemption","https://app.leg.wa.gov/billsummary?BillNumber=1643&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1643","199 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Exempting a sale or transfer of real property for affordable housing to a nonprofit entity, housing authority, public corporation, county, or municipal corporation from the real estate excise tax.","Hackney, Stokesbary, Bateman, Ryu, Simmons, Leavitt, Robertson, Walen, Valdez, Paul, Callan, Gilday, Macri, Peterson, Ramos, Chopp, Bergquist, Kloba","No Requester"
"HOMES AND HOUSING","Affordable housing, redevelopment of certain property in targeted urban areas for, sales/use tax deferral program","https://app.leg.wa.gov/billsummary?BillNumber=5755&Year=2021&Initiative=false","Engrossed 2nd Substitute - E2SSB 5755","241 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Authorizing certain cities to establish a limited sales and use tax incentive program to encourage redevelopment of vacant lands in urban areas.","Trudeau, Billig, Nobles, Saldaña, Wellman","No Requester"
"HOMES AND HOUSING","Affordable housing, rental, incentive program and property tax exemption","https://app.leg.wa.gov/billsummary?BillNumber=1035&Year=2021&Initiative=false","HB 1035","Finance","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Providing local governments with options to grant rent relief and preserve affordable housing in their communities.","Kloba, Ryu, Ortiz-Self, Duerr, Wylie, Tharinger, Ramel, Gregerson, Valdez, Hackney, Callan, Santos, Pollet, Harris-Talley","No Requester"
"HOMES AND HOUSING","Affordable housing, rental, real property sale/transfer for, real estate excise tax exemption","https://app.leg.wa.gov/billsummary?BillNumber=5642&Year=2021&Initiative=false","Substitute - SSB 5642","Ways & Means","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Exempting a sale or transfer of real property for affordable housing to a nonprofit entity, housing authority, public corporation, county, or municipal corporation from the real estate excise tax.","Mullet, Rivers, Gildon","No Requester"
"HOMES AND HOUSING","Affordable housing, services for residents of, real estate sales excise tax revenue use for","https://app.leg.wa.gov/billsummary?BillNumber=1069&Year=2021&Initiative=false","Engrossed 2nd Substitute - E2SHB 1069","296 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning local government fiscal flexibility.","Pollet, Duerr, Leavitt, Wylie, Tharinger, Kloba, Senn, Ryu, Callan, Fey","No Requester"
"HOMES AND HOUSING","Affordable housing, single-family residences, duplexes/townhouses/etc. in urban growth areas","https://app.leg.wa.gov/billsummary?BillNumber=1232&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1232","Local Govt","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Planning for affordable housing under the growth management act.","Barkis, Griffey, Eslick, Robertson, Young","No Requester"
"HOMES AND HOUSING","Affordable housing, special excise tax on sale/charge for lodging for","https://app.leg.wa.gov/billsummary?BillNumber=5978&Year=2021&Initiative=false","SB 5978","Housing & Loca","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Providing a local government option for the funding of essential affordable housing programs.","Lovelett, Kuderer","No Requester"
"HOMES AND HOUSING","Affordable housing, state agency/political subdivision/municipality surplus public property disposal for, requirements","https://app.leg.wa.gov/billsummary?BillNumber=1908&Year=2021&Initiative=false","Substitute - SHB 1908","Rules C","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Addressing surplus public property for affordable housing.","Steele, Santos, Eslick, Graham, Macri","No Requester"
"HOMES AND HOUSING","Affordable housing, through local infrastructure project areas and financing","https://app.leg.wa.gov/billsummary?BillNumber=5823&Year=2021&Initiative=false","SB 5823","Rules 3","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Addressing local infrastructure project areas.","Das, Robinson, Keiser, Kuderer, Nguyen, Nobles","No Requester"
"HOMES AND HOUSING","Affordable housing, very low-income, preserving","https://app.leg.wa.gov/billsummary?BillNumber=1035&Year=2021&Initiative=false","HB 1035","Finance","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Providing local governments with options to grant rent relief and preserve affordable housing in their communities.","Kloba, Ryu, Ortiz-Self, Duerr, Wylie, Tharinger, Ramel, Gregerson, Valdez, Hackney, Callan, Santos, Pollet, Harris-Talley","No Requester"
