main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
COMPUTERS,"Internet, broadband services, retail, in unserved areas, provided by PUDs/port districts, authority/process for",https://app.leg.wa.gov/billsummary?BillNumber=5383&Year=2021&Initiative=false,2nd Substitute - 2SSB 5383,293 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Authorizing a public utility district to provide retail telecommunications services in unserved areas under certain conditions.,"Wellman, Short, Hunt, King, Lovelett, Nguyen, Randall, Saldaña, Warnick, Claire Wilson, Linda Wilson",No Requester,7,5
COMPUTERS,"Internet, broadband services, virtual private network service, provider to offer",https://app.leg.wa.gov/billsummary?BillNumber=5112&Year=2021&Initiative=false,SB 5112,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Requiring broadband internet access service providers to provide virtual private network service.,Ericksen,No Requester,0,0
COMPUTERS,"Internet, broadband services, Washington broadband assistance program, establishing",https://app.leg.wa.gov/billsummary?BillNumber=1723&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1723,265 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Closing the digital equity divide by increasing the accessibility and affordability of telecommunications services, devices, and training.","Gregerson, Taylor, Ryu, Jesse Johnson, Berry, Valdez, Goodman, Macri, Peterson, Ramel, Simmons, Wylie, Slatter, Bergquist, Pollet, Ortiz-Self, Dolan, Stonier, Riccelli, Ormsby, Harris-Talley, Hackney, Kloba, Frame",No Requester,24,1
COMPUTERS,"Internet, broadband services, wholesale telecommunications services provided by PUDs, authority for, when",https://app.leg.wa.gov/billsummary?BillNumber=5383&Year=2021&Initiative=false,2nd Substitute - 2SSB 5383,293 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Authorizing a public utility district to provide retail telecommunications services in unserved areas under certain conditions.,"Wellman, Short, Hunt, King, Lovelett, Nguyen, Randall, Saldaña, Warnick, Claire Wilson, Linda Wilson",No Requester,7,5
COMPUTERS,"Internet, high-speed, infrastructure for unserved rural-county regions, sales/use tax revenue use for",https://app.leg.wa.gov/billsummary?BillNumber=1246&Year=2021&Initiative=false,HB 1246,Finance,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Allowing a local sales and use tax as a credit against the state sales tax for rural high-speed internet infrastructure without increasing the total sales and use tax rate.,"Orcutt, Young",No Requester,0,2
COMPUTERS,"Internet, high-speed, real estate seller's disclosure of access availability",https://app.leg.wa.gov/billsummary?BillNumber=1064&Year=2021&Initiative=false,Substitute - SHB 1064,25 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Requiring the disclosure of high-speed internet access availability in the seller's disclosure statement.,"Eslick, Kloba, Leavitt, Wylie, Gregerson, Ryu, Young, Robertson, Kirby, Fey",No Requester,7,3
COMPUTERS,"Internet, marketing/advertising products or services to minors via, prohibitions",https://app.leg.wa.gov/billsummary?BillNumber=1697&Year=2021&Initiative=false,Substitute - SHB 1697,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning privacy rights for Washington minors.,"Leavitt, Ramel, Berg, Callan, Slatter, Pollet",No Requester,6,0
COMPUTERS,"Internet, state resources, state employee use for social gatherings during pandemic, when",https://app.leg.wa.gov/billsummary?BillNumber=5395&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5395,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning use of state resources during periods where state employees are required to work from home.,"Hunt, Dhingra, Hasegawa, Kuderer, Nguyen, Nobles, Randall, Saldaña, Wellman, Claire Wilson",No Requester,10,2
COMPUTERS,"Learning devices, digital navigator program for school and families training and technical support",https://app.leg.wa.gov/billsummary?BillNumber=1450&Year=2021&Initiative=false,HB 1450,Education,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Procuring, and supporting the use of, appropriate computers and devices for public school students and instructional staff by levying a tax on wireless devices.","Gregerson, Stonier, Tharinger, Dolan, Fitzgibbon, Hansen, Lovick, Berry, Callan, Ryu, Taylor, Davis, Wicks, Simmons, Valdez, Senn, Jesse Johnson, Ramel, Kloba, Bergquist, Ormsby, Riccelli, Pollet, Ortiz-Self, Duerr, Hackney, Thai, Berg, Harris-Talley, Macri",No Requester,29,1
COMPUTERS,"Learning devices, student learning device grant program, establishing, OSPI role",https://app.leg.wa.gov/billsummary?BillNumber=1450&Year=2021&Initiative=false,HB 1450,Education,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Procuring, and supporting the use of, appropriate computers and devices for public school students and instructional staff by levying a tax on wireless devices.","Gregerson, Stonier, Tharinger, Dolan, Fitzgibbon, Hansen, Lovick, Berry, Callan, Ryu, Taylor, Davis, Wicks, Simmons, Valdez, Senn, Jesse Johnson, Ramel, Kloba, Bergquist, Ormsby, Riccelli, Pollet, Ortiz-Self, Duerr, Hackney, Thai, Berg, Harris-Talley, Macri",No Requester,29,1
