main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
TELECOMMUNICATIONS,"Broadband services, retail, in unserved areas, provided by PUDs/port districts, authority/process for",https://app.leg.wa.gov/billsummary?BillNumber=5383&Year=2021&Initiative=false,2nd Substitute - 2SSB 5383,293 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Authorizing a public utility district to provide retail telecommunications services in unserved areas under certain conditions.,"Wellman, Short, Hunt, King, Lovelett, Nguyen, Randall, Saldaña, Warnick, Claire Wilson, Linda Wilson",No Requester,7,5
TELECOMMUNICATIONS,"Broadband services, Washington broadband assistance program, establishing",https://app.leg.wa.gov/billsummary?BillNumber=1723&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1723,265 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Closing the digital equity divide by increasing the accessibility and affordability of telecommunications services, devices, and training.","Gregerson, Taylor, Ryu, Jesse Johnson, Berry, Valdez, Goodman, Macri, Peterson, Ramel, Simmons, Wylie, Slatter, Bergquist, Pollet, Ortiz-Self, Dolan, Stonier, Riccelli, Ormsby, Harris-Talley, Hackney, Kloba, Frame",No Requester,24,1
TELECOMMUNICATIONS,"Broadband services, wholesale telecommunications services provided by PUDs, authority for, when",https://app.leg.wa.gov/billsummary?BillNumber=5383&Year=2021&Initiative=false,2nd Substitute - 2SSB 5383,293 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Authorizing a public utility district to provide retail telecommunications services in unserved areas under certain conditions.,"Wellman, Short, Hunt, King, Lovelett, Nguyen, Randall, Saldaña, Warnick, Claire Wilson, Linda Wilson",No Requester,7,5
TELECOMMUNICATIONS,"Broadband, low earth orbit satellites and wireline/wireless connections, tax preferences to support/facilitate",https://app.leg.wa.gov/billsummary?BillNumber=1702&Year=2021&Initiative=false,HB 1702,Finance,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Accelerating broadband connectivity for Washington.,"Boehnke, Abbarno, Chambers, Graham, Sutherland, Eslick",No Requester,0,6
TELECOMMUNICATIONS,"Cloud computing services, 3rd-party commercial, state agency adoption of and migration to",https://app.leg.wa.gov/billsummary?BillNumber=1274&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1274,40 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning cloud computing solutions.,"Hackney, Stokesbary, Robertson, Bateman, Springer, Walen, Leavitt, Berg, Slatter",No Requester,7,2
TELECOMMUNICATIONS,"Cloud computing services, 3rd-party, task force on cloud transition, establishing",https://app.leg.wa.gov/billsummary?BillNumber=1274&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1274,40 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning cloud computing solutions.,"Hackney, Stokesbary, Robertson, Bateman, Springer, Walen, Leavitt, Berg, Slatter",No Requester,7,2
TELECOMMUNICATIONS,"Companies, competitive, incumbent local exchange carrier classification as, when",https://app.leg.wa.gov/billsummary?BillNumber=1429&Year=2021&Initiative=false,HB 1429,Comm & Econ De,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning classification as a competitive telecommunications company for an incumbent local exchange carrier currently operating under an alternative form of regulation authorized by RCW 80.36.135.,"Ryu, Lovick, Fey, Robertson, Hansen",No Requester,4,1
TELECOMMUNICATIONS,"Companies, competitive, when subject to effective competition, modifying standards",https://app.leg.wa.gov/billsummary?BillNumber=1429&Year=2021&Initiative=false,HB 1429,Comm & Econ De,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning classification as a competitive telecommunications company for an incumbent local exchange carrier currently operating under an alternative form of regulation authorized by RCW 80.36.135.,"Ryu, Lovick, Fey, Robertson, Hansen",No Requester,4,1
TELECOMMUNICATIONS,"Contractor license, for work on property offered for sale within 12 months after purchase, requiring",https://app.leg.wa.gov/billsummary?BillNumber=5267&Year=2021&Initiative=false,Substitute - SSB 5267,51 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Requiring electrical licensing for electrical work associated with flipping property.,"Saldaña, Stanford, Conway, Das, Hasegawa, Keiser, Kuderer, Claire Wilson",No Requester,8,2
TELECOMMUNICATIONS,"Contractor license, for work on property offered for sale within 24 months after purchase, requiring",https://app.leg.wa.gov/billsummary?BillNumber=5267&Year=2021&Initiative=false,Substitute - SSB 5267,51 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Requiring electrical licensing for electrical work associated with flipping property.,"Saldaña, Stanford, Conway, Das, Hasegawa, Keiser, Kuderer, Claire Wilson",No Requester,8,2
