REAL ESTATE AND REAL PROPERTY,"Foreclosure, assistance provisions of foreclosure fairness act, temporary expansion of applicability",https://app.leg.wa.gov/billsummary?BillNumber=1108&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1108,151 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Maintaining funding and assistance for homeowners navigating the foreclosure process.,"Orwall, Ortiz-Self, Kloba, Hackney, Chopp, Santos, Macri, Pollet, Harris-Talley",No Requester
REAL ESTATE AND REAL PROPERTY,"Foreclosure, beneficiaries, mediation participation and fee remittance by, expanding",https://app.leg.wa.gov/billsummary?BillNumber=1108&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1108,151 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Maintaining funding and assistance for homeowners navigating the foreclosure process.,"Orwall, Ortiz-Self, Kloba, Hackney, Chopp, Santos, Macri, Pollet, Harris-Talley",No Requester
REAL ESTATE AND REAL PROPERTY,"Foreclosure, foreclosure mediation program and federally insured depository institutions",https://app.leg.wa.gov/billsummary?BillNumber=1108&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1108,151 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Maintaining funding and assistance for homeowners navigating the foreclosure process.,"Orwall, Ortiz-Self, Kloba, Hackney, Chopp, Santos, Macri, Pollet, Harris-Talley",No Requester
REAL ESTATE AND REAL PROPERTY,"Foreclosure, foreclosure mediation program, deadline for referral to mediation",https://app.leg.wa.gov/billsummary?BillNumber=2088&Year=2021&Initiative=false,HB 2088,Civil R & Judi,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Protecting homeowners navigating the foreclosure process.,"Orwall, Ryu, Fitzgibbon, Santos, Sutherland, Ramel",No Requester
REAL ESTATE AND REAL PROPERTY,"Foreclosure, preventing, and addressing racial inequities, via estate tax revenues",https://app.leg.wa.gov/billsummary?BillNumber=1465&Year=2021&Initiative=false,HB 1465,Finance,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Making the estate tax more progressive by exempting small estates, reducing estate taxes on medium estates, increasing the estate tax on larger estates, and addressing equity in homeownership and homelessness.","Orwall, Ramel, Ryu, Wylie, Frame, Ormsby, Valdez, Pollet, Thai, Chopp, Macri, Harris-Talley",No Requester
REAL ESTATE AND REAL PROPERTY,"Foreclosure, protections, penalties for delinquent property taxes, eliminating",https://app.leg.wa.gov/billsummary?BillNumber=1410&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1410,257 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Protecting taxpayers from home foreclosure.,"Volz, Valdez, Ybarra, Stokesbary, Chase, Dufault, Leavitt, Vick, Dolan, Sutherland, Walen, Chambers, Walsh, Robertson, Caldier, Griffey, Riccelli, Jacobsen, Fitzgibbon, Ormsby, Harris-Talley",No Requester
REAL ESTATE AND REAL PROPERTY,"Foreclosure, protections, penalties for delinquent property taxes, eliminating, when",https://app.leg.wa.gov/billsummary?BillNumber=1410&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1410,257 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Protecting taxpayers from home foreclosure.,"Volz, Valdez, Ybarra, Stokesbary, Chase, Dufault, Leavitt, Vick, Dolan, Sutherland, Walen, Chambers, Walsh, Robertson, Caldier, Griffey, Riccelli, Jacobsen, Fitzgibbon, Ormsby, Harris-Talley",No Requester
REAL ESTATE AND REAL PROPERTY,"Homes, single-family with children home-/private-schooled, state/local enrichment property tax levies exemption",https://app.leg.wa.gov/billsummary?BillNumber=5257&Year=2021&Initiative=false,SB 5257,EL/K-12,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Exempting homeowners from the state and local enrichment property tax levies if their children attend private or home school.,"Fortunato, Gildon, McCune, Padden, Wagoner, Warnick",No Requester
REAL ESTATE AND REAL PROPERTY,"Homesteads, exemption in bankruptcy proceedings, amount and application of",https://app.leg.wa.gov/billsummary?BillNumber=5408&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5408,290 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning the homestead exemption.,"Stanford, Das, Dhingra, Hasegawa, Kuderer, Lovelett, Nguyen, Randall, Robinson, Rolfes, Saldaña, Wellman",No Requester
REAL ESTATE AND REAL PROPERTY,"Liens, as part of C-PACER program for clean energy building improvements, assessment/lien provisions",https://app.leg.wa.gov/billsummary?BillNumber=5862&Year=2021&Initiative=false,Substitute - SSB 5862,101 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning technical changes to the commercial property assessed clean energy and resiliency program.,"Lovelett, Rivers, Fortunato, Gildon, Kuderer, Lovick, Nguyen, Nobles, Stanford, Wilson, C., Wilson, J.",No Requester
